match_id,market_type,outcome,p_elo,p_poisson,p_form,p_ensemble_e3,p_ensemble_v2,p_kalshi,v_kalshi,p_polymarket,v_polymarket,golden_zone,edge,opportunity
GOLDENBOOT-WC2026,top_scorer,Alvaro Morata,,,,,,0.04,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Bruno Fernandes,,,,,,0.02,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Bukayo Saka,,,,,,0.03,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Christian Pulisic,,,,,,0.02,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Cody Gakpo,,,,,,0.03,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Cristiano Ronaldo,,,,,,0.03,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Darwin Nunez,,,,,,0.01,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Erling Haaland,,,,,,0.07,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Ferran Torres,,,,,,0.02,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Harry Kane,,,,,,0.12,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Jonathan David,,,,,,0.01,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Julian Alvarez,,,,,,0.04,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Kylian Mbappe,,,,,,0.17,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Lamine Yamal,,,,,,0.05,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Lautaro Martinez,,,,,,0.03,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Lionel Messi,,,,,,0.04,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Luis Diaz,,,,,,0.03,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Matheus Cunha,,,,,,0.01,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Memphis Depay,,,,,,0.01,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Mikel Oyarzabal,,,,,,0.09,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Mohamed Salah,,,,,,0.01,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Nick Woltemade,,,,,,0.02,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Ousmane Dembele,,,,,,0.05,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Phil Foden,,,,,,0.01,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Randal Kolo Muani,,,,,,0.01,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Raphinha,,,,,,0.03,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Richarlison,,,,,,0.01,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Rodrygo,,,,,,0.01,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Romelu Lukaku,,,,,,0.03,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Scott McTominay,,,,,,0.01,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Son Heung-min,,,,,,0.01,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Vinicius Junior,,,,,,0.03,0,,0,,,
GROUP-A-WC2026,group_winner,CZE,,,,,,0.22,0,0.235,101,,,
GROUP-A-WC2026,group_winner,DEN,,,,,,0.01,0,,0,,,
GROUP-A-WC2026,group_winner,IRL,,,,,,0.08,0,,0,,,
GROUP-A-WC2026,group_winner,KOR,,,,,,0.24,0,0.195,181,,,
GROUP-A-WC2026,group_winner,MEX,,,,,,0.5,0,0.505,93,,,
GROUP-A-WC2026,group_winner,MKD,,,,,,0.01,0,,0,,,
GROUP-A-WC2026,group_winner,RSA,,,,,,0.06,0,0.047,0,,,
GROUP-B-WC2026,group_winner,BIH,,,,,,0.17,0,0.205,282,,,
GROUP-B-WC2026,group_winner,CAN,,,,,,0.27,0,0.245,335,,,
GROUP-B-WC2026,group_winner,ITA,,,,,,0.01,0,,0,,,
GROUP-B-WC2026,group_winner,NIR,,,,,,0.01,0,,0,,,
GROUP-B-WC2026,group_winner,QAT,,,,,,0.02,0,0.02,399,,,
GROUP-B-WC2026,group_winner,SUI,,,,,,0.52,0,0.555,473,,,
GROUP-B-WC2026,group_winner,WAL,,,,,,0.01,0,,0,,,
GROUP-C-WC2026,group_winner,BRA,,,,,,0.75,0,0.765,6,,,
GROUP-C-WC2026,group_winner,HAI,,,,,,0.01,0,0.003,0,,,
GROUP-C-WC2026,group_winner,MAR,,,,,,0.24,0,0.175,545,,,
GROUP-C-WC2026,group_winner,SCO,,,,,,0.06,0,0.051,99,,,
GROUP-D-WC2026,group_winner,AUS,,,,,,0.09,0,0.073,179,,,
GROUP-D-WC2026,group_winner,Kosovo,,,,,,0.01,0,,0,,,
GROUP-D-WC2026,group_winner,PAR,,,,,,0.16,0,0.185,66,,,
GROUP-D-WC2026,group_winner,Romania,,,,,,0.02,0,,0,,,
GROUP-D-WC2026,group_winner,Slovakia,,,,,,0.01,0,,0,,,
GROUP-D-WC2026,group_winner,Turkiye,,,,,,0.36,0,,0,,,
GROUP-D-WC2026,group_winner,Türkiye,,,,,,,0,0.345,517,,,
GROUP-D-WC2026,group_winner,USA,,,,,,0.45,0,0.42,130,,,
GROUP-E-WC2026,group_winner,CIV,,,,,,0.12,0,0.111,86,,,
GROUP-E-WC2026,group_winner,CUW,,,,,,,0,0.01,20,,,
GROUP-E-WC2026,group_winner,Curacao,,,,,,0.01,0,,0,,,
GROUP-E-WC2026,group_winner,ECU,,,,,,0.23,0,0.18,30,,,
GROUP-E-WC2026,group_winner,GER,,,,,,0.7,0,0.715,141,,,
GROUP-F-WC2026,group_winner,Albania,,,,,,0.01,0,,0,,,
GROUP-F-WC2026,group_winner,JPN,,,,,,0.25,0,0.265,3665,,,
GROUP-F-WC2026,group_winner,NED,,,,,,0.56,0,0.545,81,,,
GROUP-F-WC2026,group_winner,Poland,,,,,,0.01,0,,0,,,
GROUP-F-WC2026,group_winner,SWE,,,,,,0.17,0,0.14,0,,,
GROUP-F-WC2026,group_winner,TUN,,,,,,0.05,0,0.053,92,,,
GROUP-F-WC2026,group_winner,UKR,,,,,,0.02,0,,0,,,
GROUP-G-WC2026,group_winner,BEL,,,,,,0.69,0,0.675,7,,,
GROUP-G-WC2026,group_winner,EGY,,,,,,0.17,0,0.165,21,,,
GROUP-G-WC2026,group_winner,IRI,,,,,,0.1,0,0.121,0,,,
GROUP-G-WC2026,group_winner,NZL,,,,,,0.04,0,0.022,0,,,
GROUP-H-WC2026,group_winner,CPV,,,,,,0.02,0,0.005,0,,,
GROUP-H-WC2026,group_winner,ESP,,,,,,0.78,0,0.805,129,,,
GROUP-H-WC2026,group_winner,KSA,,,,,,0.03,0,0.032,42,,,
GROUP-H-WC2026,group_winner,URU,,,,,,0.18,0,0.165,59,,,
GROUP-I-WC2026,group_winner,BOL,,,,,,0.01,0,,0,,,
GROUP-I-WC2026,group_winner,FRA,,,,,,0.69,0,0.715,43,,,
GROUP-I-WC2026,group_winner,IRQ,,,,,,0.02,0,0.011,62,,,
GROUP-I-WC2026,group_winner,NOR,,,,,,0.23,0,0.21,133,,,
GROUP-I-WC2026,group_winner,SEN,,,,,,0.1,0,0.085,127,,,
GROUP-I-WC2026,group_winner,Suriname,,,,,,0.01,0,,0,,,
GROUP-J-WC2026,group_winner,ALG,,,,,,0.1,0,0.07,4244,,,
GROUP-J-WC2026,group_winner,ARG,,,,,,0.75,0,0.755,3913,,,
GROUP-J-WC2026,group_winner,AUT,,,,,,0.15,0,0.165,4236,,,
GROUP-J-WC2026,group_winner,JOR,,,,,,0.02,0,0.016,3772,,,
GROUP-K-WC2026,group_winner,COD,,,,,,0.06,0,0.051,287,,,
GROUP-K-WC2026,group_winner,COL,,,,,,0.27,0,0.27,44,,,
GROUP-K-WC2026,group_winner,JAM,,,,,,0.01,0,,0,,,
GROUP-K-WC2026,group_winner,New Caledonia,,,,,,0.01,0,,0,,,
GROUP-K-WC2026,group_winner,POR,,,,,,0.64,0,0.665,180,,,
GROUP-K-WC2026,group_winner,UZB,,,,,,0.01,0,0.009,0,,,
GROUP-L-WC2026,group_winner,CRO,,,,,,0.25,0,0.205,0,,,
GROUP-L-WC2026,group_winner,ENG,,,,,,0.72,0,0.725,0,,,
GROUP-L-WC2026,group_winner,GHA,,,,,,0.08,0,0.07,68,,,
GROUP-L-WC2026,group_winner,PAN,,,,,,0.03,0,0.021,63,,,
OUTRIGHT-WC2026,outright_winner,ALG,,,,,,0.002,0,0.004,72507,,,
OUTRIGHT-WC2026,outright_winner,ARG,,,,,,0.096,0,0.086,125295,,,
OUTRIGHT-WC2026,outright_winner,AUS,,,,,,0.002,0,0.003,242896,,,
OUTRIGHT-WC2026,outright_winner,AUT,,,,,,0.004,0,0.006,1082406,,,
OUTRIGHT-WC2026,outright_winner,BEL,,,,,,0.021,0,0.019,148208,,,
OUTRIGHT-WC2026,outright_winner,BIH,,,,,,0.01,0,,0,,,
OUTRIGHT-WC2026,outright_winner,BRA,,,,,,0.091,0,0.086,54929,,,
OUTRIGHT-WC2026,outright_winner,Bosnia-Herzegovina,,,,,,,0,0.004,25468,,,
OUTRIGHT-WC2026,outright_winner,CAN,,,,,,0.005,0,0.005,45298,,,
OUTRIGHT-WC2026,outright_winner,CIV,,,,,,0.003,0,0.004,68226,,,
OUTRIGHT-WC2026,outright_winner,COD,,,,,,0.01,0,0.003,33892,,,
OUTRIGHT-WC2026,outright_winner,COL,,,,,,0.019,0,0.017,53075,,,
OUTRIGHT-WC2026,outright_winner,CPV,,,,,,0.001,0,0.003,36104,,,
OUTRIGHT-WC2026,outright_winner,CRO,,,,,,0.013,0,0.011,411309,,,
OUTRIGHT-WC2026,outright_winner,CUW,,,,,,,0,0.003,34494,,,
OUTRIGHT-WC2026,outright_winner,CZE,,,,,,0.01,0,0.004,25263,,,
OUTRIGHT-WC2026,outright_winner,Curacao,,,,,,0.001,0,,0,,,
OUTRIGHT-WC2026,outright_winner,DEN,,,,,,0.001,0,,0,,,
OUTRIGHT-WC2026,outright_winner,ECU,,,,,,0.007,0,0.007,72137,,,
OUTRIGHT-WC2026,outright_winner,EGY,,,,,,0.002,0,0.004,69746,,,
OUTRIGHT-WC2026,outright_winner,ENG,,,,,,0.113,0,0.111,76192,,,
OUTRIGHT-WC2026,outright_winner,ESP,,,,,,0.164,0,0.157,392810,,,
OUTRIGHT-WC2026,outright_winner,FRA,,,,,,0.182,0,0.171,232878,,,
OUTRIGHT-WC2026,outright_winner,GER,,,,,,0.053,0,0.051,81425,,,
OUTRIGHT-WC2026,outright_winner,GHA,,,,,,0.002,0,0.003,77799,,,
OUTRIGHT-WC2026,outright_winner,HAI,,,,,,0.001,0,0.002,39481,,,
OUTRIGHT-WC2026,outright_winner,IRI,,,,,,0.002,0,0.002,109924,,,
OUTRIGHT-WC2026,outright_winner,IRQ,,,,,,0.01,0,0.003,27737,,,
OUTRIGHT-WC2026,outright_winner,ITA,,,,,,0.001,0,,0,,,
OUTRIGHT-WC2026,outright_winner,JOR,,,,,,0.001,0,0.003,27127,,,
OUTRIGHT-WC2026,outright_winner,JPN,,,,,,0.018,0,0.021,186385,,,
OUTRIGHT-WC2026,outright_winner,KOR,,,,,,0.003,0,0.004,83329,,,
OUTRIGHT-WC2026,outright_winner,KSA,,,,,,0.001,0,0.003,38806,,,
OUTRIGHT-WC2026,outright_winner,MAR,,,,,,0.019,0,0.017,274955,,,
OUTRIGHT-WC2026,outright_winner,MEX,,,,,,0.015,0,0.011,72748,,,
OUTRIGHT-WC2026,outright_winner,NED,,,,,,0.036,0,0.035,90403,,,
OUTRIGHT-WC2026,outright_winner,NIR,,,,,,0.01,0,,0,,,
OUTRIGHT-WC2026,outright_winner,NOR,,,,,,0.019,0,0.022,199083,,,
OUTRIGHT-WC2026,outright_winner,NZL,,,,,,0.001,0,0.003,183424,,,
OUTRIGHT-WC2026,outright_winner,PAN,,,,,,0.001,0,0.003,63692,,,
OUTRIGHT-WC2026,outright_winner,PAR,,,,,,0.003,0,0.004,43069,,,
OUTRIGHT-WC2026,outright_winner,POR,,,,,,0.085,0,0.074,130319,,,
OUTRIGHT-WC2026,outright_winner,Peru,,,,,,,0,,0,,,
OUTRIGHT-WC2026,outright_winner,Poland,,,,,,0.001,0,,0,,,
OUTRIGHT-WC2026,outright_winner,QAT,,,,,,0.001,0,0.003,47262,,,
OUTRIGHT-WC2026,outright_winner,RSA,,,,,,0.002,0,0.003,25463,,,
OUTRIGHT-WC2026,outright_winner,Republic of Ireland,,,,,,0.001,0,,0,,,
OUTRIGHT-WC2026,outright_winner,Romania,,,,,,0.001,0,,0,,,
OUTRIGHT-WC2026,outright_winner,SCO,,,,,,0.003,0,0.004,47208,,,
OUTRIGHT-WC2026,outright_winner,SEN,,,,,,0.008,0,0.007,375214,,,
OUTRIGHT-WC2026,outright_winner,SUI,,,,,,0.009,0,0.013,454293,,,
OUTRIGHT-WC2026,outright_winner,SWE,,,,,,0.004,0,0.006,47309,,,
OUTRIGHT-WC2026,outright_winner,TUN,,,,,,0.001,0,0.004,76043,,,
OUTRIGHT-WC2026,outright_winner,TUR,,,,,,0.008,0,,0,,,
OUTRIGHT-WC2026,outright_winner,Turkiye,,,,,,,0,0.006,91548,,,
OUTRIGHT-WC2026,outright_winner,UKR,,,,,,0.01,0,,0,,,
OUTRIGHT-WC2026,outright_winner,URU,,,,,,0.012,0,0.011,42303,,,
OUTRIGHT-WC2026,outright_winner,USA,,,,,,0.015,0,0.015,271671,,,
OUTRIGHT-WC2026,outright_winner,UZB,,,,,,0.001,0,0.003,75659,,,
OUTRIGHT-WC2026,outright_winner,WAL,,,,,,0.001,0,,0,,,
POLY-EVT-224530,other, World Cup game relocated away from Mexico?,,,,,,,0,0.032,129,,,
POLY-EVT-38368,other,Will any 2026 FIFA World Cup game scheduled in the U.S. be relocated abroad?,,,,,,,0,0.075,22,,,
POLY-EVT-414376,other,BOL,,,,,,,0,0.004,0,,,
POLY-EVT-414376,other,ITA,,,,,,,0,0.056,321,,,
POLY-EVT-414376,other,No Replacement,,,,,,,0,0.896,1304,,,
POLY-EVT-414376,other,OTHER,,,,,,,0,0.011,0,,,
POLY-EVT-414376,other,UAE,,,,,,,0,0.032,13,,,
POLY-EVT-75515,other,Will Lionel Messi play in the 2026 FIFA World Cup?,,,,,,,0,0.93,317,,,
POLY-EVT-98349,other,Africa,,,,,,,0,0.035,1119,,,
POLY-EVT-98349,other,Asia,,,,,,,0,0.034,21,,,
POLY-EVT-98349,other,Europe,,,,,,,0,0.715,49,,,
POLY-EVT-98349,other,North America,,,,,,,0,0.025,102,,,
POLY-EVT-98349,other,Oceania,,,,,,,0,0.003,72,,,
POLY-EVT-98349,other,South America,,,,,,,0,0.205,376,,,
WC26-ALG-AUT-2026-06-27,match_1x2,away,0.477,,,,,,0,,0,0,,
WC26-ALG-AUT-2026-06-27,match_1x2,draw,0.229,,,,,,0,,0,0,,
WC26-ALG-AUT-2026-06-27,match_1x2,home,0.294,,,,,,0,,0,0,,
WC26-ARG-ALG-2026-06-16,match_1x2,away,0.09,,,,,,0,,0,0,,
WC26-ARG-ALG-2026-06-16,match_1x2,draw,0.15,,,,,,0,,0,0,,
WC26-ARG-ALG-2026-06-16,match_1x2,home,0.76,,,,,,0,,0,0,,
WC26-ARG-AUT-2026-06-22,match_1x2,away,0.137,,,,,0.26,0,,0,0,,
WC26-ARG-AUT-2026-06-22,match_1x2,draw,0.15,,,,,0.58,0,,0,0,,
WC26-ARG-AUT-2026-06-22,match_1x2,home,0.713,,,,,0.59,0,,0,0,,
WC26-ARG-DZA-2026-06-16,match_1x2,away,,,,,,0.14,0,,0,0,,
WC26-ARG-DZA-2026-06-16,match_1x2,draw,,,,,,0.16,0,,0,0,,
WC26-ARG-DZA-2026-06-16,match_1x2,home,,,,,,0.74,0,,0,0,,
WC26-AUS-TUR-2026-06-13,match_1x2,away,0.533,,,,,,0,,0,0,,
WC26-AUS-TUR-2026-06-13,match_1x2,draw,0.2,,,,,,0,,0,0,,
WC26-AUS-TUR-2026-06-13,match_1x2,home,0.267,,,,,,0,,0,0,,
WC26-AUT-JOR-2026-06-16,match_1x2,away,0.254,,,,,,0,,0,0,,
WC26-AUT-JOR-2026-06-16,match_1x2,draw,0.188,,,,,,0,,0,0,,
WC26-AUT-JOR-2026-06-16,match_1x2,home,0.559,,,,,,0,,0,0,,
WC26-AUT-JOR-2026-06-17,match_1x2,away,,,,,,0.56,0,,0,0,,
WC26-AUT-JOR-2026-06-17,match_1x2,draw,,,,,,0.14,0,,0,0,,
WC26-AUT-JOR-2026-06-17,match_1x2,home,,,,,,0.73,0,,0,0,,
WC26-BEL-EGY-2026-06-15,match_1x2,away,0.223,,,,,0.24,0,,0,0,,
WC26-BEL-EGY-2026-06-15,match_1x2,draw,0.159,,,,,0.24,0,,0,0,,
WC26-BEL-EGY-2026-06-15,match_1x2,home,0.618,,,,,0.77,0,,0,0,,
WC26-BEL-IRI-2026-06-21,match_1x2,away,0.278,,,,,0.45,0,,0,0,,
WC26-BEL-IRI-2026-06-21,match_1x2,draw,0.211,,,,,0.5,0,,0,0,,
WC26-BEL-IRI-2026-06-21,match_1x2,home,0.511,,,,,0.79,0,,0,0,,
WC26-BIH-QAT-2026-06-24,match_1x2,away,0.229,,,,,,0,,0,0,,
WC26-BIH-QAT-2026-06-24,match_1x2,draw,0.165,,,,,,0,,0,0,,
WC26-BIH-QAT-2026-06-24,match_1x2,home,0.606,,,,,,0,,0,0,,
WC26-BRA-HAI-2026-06-19,match_1x2,away,0.059,,,,,,0,,0,0,,
WC26-BRA-HAI-2026-06-19,match_1x2,draw,0.15,,,,,,0,,0,0,,
WC26-BRA-HAI-2026-06-19,match_1x2,home,0.791,,,,,,0,,0,0,,
WC26-BRA-HTI-2026-06-19,match_1x2,away,,,,,,0.09,0,,0,0,,
