squad_player,nation,und_player_matched,match_score,club_xg90,threshold_passed
Hiroki Ito,Japan,hiroki ito,100.0,0.0148,True
Ayase Ueda,Japan,,0.0,,False
Jesús Daniel Gallardo Vasconcelos,Mexico,,0.0,,False
Luis Gerardo Chávez Magallón,Mexico,,0.0,,False
Héctor Alfredo Moreno Herrera,Mexico,hector herrera,100.0,0.0317,True
Francisco Guillermo Ochoa Magaña,Mexico,francesco magnanelli,77.77777777777779,0.0108,True
César Jasib Montes Castro,Mexico,,0.0,,False
Hirving Rodrigo Lozano Bahena,Mexico,,0.0,,False
Ernesto Alexis Vega Rojas,Mexico,,0.0,,False
Edson Omar Álvarez Velázquez,Mexico,,0.0,,False
Jorge Eduardo Sánchez Ramos,Mexico,jorge miramon,83.33333333333334,0.032,True
Héctor Miguel Herrera López,Mexico,,0.0,,False
Henry Josué Martín Mex,Mexico,,0.0,,False
Carlos Uriel Antuna Romero,Mexico,carlos soler,80.0,0.316,True
Néstor Alejandro Araújo Razo,Mexico,,0.0,,False
Kevin Nahin Álvarez Campos,Mexico,kevin kampl,78.26086956521739,0.0189,True
Orbelín Pineda Alvarado,Mexico,,0.0,,False
Raúl Alonso Jiménez Rodríguez,Mexico,jay rodriguez,81.4814814814815,0.3222,True
Érick Gabriel Gutiérrez Galaviz,Mexico,,0.0,,False
Carlos Alberto Rodríguez Gómez,Mexico,carlos gruezo,80.0,0.0336,True
José Andrés Guardado Hernández,Mexico,juan hernandez,78.57142857142857,0.2131,True
Roberto Carlos Alvarado Hernández,Mexico,theo hernandez,77.41935483870968,0.1651,True
Rogelio Gabriel Funes Mori,Mexico,,0.0,,False
Sofyan Amrabat,Morocco,sofyan amrabat,100.0,0.0119,True
Hakim Ziyech,Morocco,hakim ziyech,100.0,0.2097,True
Achraf Hakimi Mouh,Morocco,,0.0,,False
Yassine Bounou,Morocco,,0.0,,False
Azzedine Ounahi,Morocco,azz-eddine ounahi,93.75,0.119,True
Youssef En-Nesyri,Morocco,youssef en-nesyri,100.0,0.4608,True
Sofiane Boufal,Morocco,sofiane boufal,100.0,0.2718,True
Romain Saïss,Morocco,romain saiss,100.0,0.1058,True
Selim Amallah,Morocco,,0.0,,False
Noussair Mazraoui,Morocco,,0.0,,False
Nayef Aguerd,Morocco,naif aguerd,86.95652173913044,0.0631,True
Yahia Attiyat allah,Morocco,,0.0,,False
Jawad El Yamiq,Morocco,,0.0,,False
Achraf Dari,Morocco,achraf hakimi,75.0,0.0894,True
Abdelhamid Sabiri,Morocco,abdelhamid sabiri,100.0,0.1308,True
Abdessamad Ezzalzouli,Morocco,abdessamad ezzalzouli,100.0,0.289,True
Zakaria Aboukhlal,Morocco,,0.0,,False
Munir Mohand Mohamedi,Morocco,,0.0,,False
Abderrazak Hamdallah,Morocco,,0.0,,False
Walid Cheddira,Morocco,,0.0,,False
Badr Banoun,Morocco,,0.0,,False
Bilal El Khannous,Morocco,,0.0,,False
Ilias Chair,Morocco,,0.0,,False
Anass Zaroury,Morocco,,0.0,,False
Yahya Jabrane,Morocco,,0.0,,False
Denzel Dumfries,Netherlands,denzel dumfries,100.0,0.2686,True
Virgil van Dijk,Netherlands,virgil dijk,100.0,0.0638,True
Andries Noppert,Netherlands,,0.0,,False
Nathan Aké,Netherlands,nathan ake,100.0,0.1275,True
Frenkie de Jong,Netherlands,frenkie jong,100.0,0.1644,True
Cody Mathès Gakpo,Netherlands,,0.0,,False
Daley Blind,Netherlands,,0.0,,False
Jurriën David Norman Timber,Netherlands,,0.0,,False
Memphis Depay,Netherlands,memphis depay,100.0,0.5669,True
Steven Bergwijn,Netherlands,steven bergwijn,100.0,0.5795,True
Teun Koopmeiners,Netherlands,teun koopmeiners,100.0,0.0706,True
Steven Berghuis,Netherlands,steven bergwijn,80.0,0.5795,True
Marten de Roon,Netherlands,marten roon,100.0,0.0628,True
Davy Klaassen,Netherlands,,0.0,,False
Wout Weghorst,Netherlands,wout weghorst,100.0,0.4876,True
Matthijs de Ligt,Netherlands,matthijs ligt,100.0,0.0757,True
Vincent Janssen,Netherlands,,0.0,,False
Luuk de Jong,Netherlands,luuk jong,100.0,0.7278,True
Noa Lang,Netherlands,,0.0,,False
Xavi Simons,Netherlands,unai simon,76.19047619047619,0.0,True
Kenneth Taylor,Netherlands,,0.0,,False
Robert Lewandowski,Poland,robert lewandowski,100.0,1.1204,True
Wojciech Szczęsny,Poland,wojciech szczesny,100.0,0.0,True
Kamil Glik,Poland,,0.0,,False
Matty Cash,Poland,matthew cash,81.81818181818181,0.066,True
Jakub Piotr Kiwior,Poland,jakub kiwior,100.0,0.0154,True
Bartosz Bereszyński,Poland,bartosz bereszynski,100.0,0.0187,True
Grzegorz Krychowiak,Poland,,0.0,,False
Piotr Zieliński,Poland,piotr zielinski,100.0,0.1288,True
Przemysław Frankowski,Poland,przemyslaw frankowski,95.23809523809523,0.0854,True
Jakub Kamiński,Poland,,0.0,,False
Krystian Bielik,Poland,,0.0,,False
Sebastian Szymański,Poland,,0.0,,False
Arkadiusz Milik,Poland,arkadiusz milik,100.0,0.4211,True
Nicola Zalewski,Poland,nicola zalewski,100.0,0.0481,True
Karol Świderski,Poland,,0.0,,False
Michał Skóraś,Poland,,0.0,,False
Krzysztof Piątek,Poland,krzysztof piatek,100.0,0.4307,True
Damian Szymański,Poland,,0.0,,False
Artur Jędrzejczyk,Poland,,0.0,,False
Kamil Grosicki,Poland,,0.0,,False
Jan Bednarek,Poland,jan bednarek,100.0,0.0953,True
Diogo Meireles Costa,Portugal,,0.0,,False
Rúben Santos Gato Alves Dias,Portugal,ruben dias,100.0,0.0949,True
Kléper Laveran Lima Ferreira,Portugal,,0.0,,False
Bruno Miguel Borges Fernandes,Portugal,bruno fernandes,100.0,0.2666,True
Bernardo Mota Veiga de Carvalho e Silva,Portugal,bernardo silva,100.0,0.2441,True
João Félix Sequeira,Portugal,,0.0,,False
João Pedro Cavaco Cancelo,Portugal,joao cancelo,100.0,0.1265,True
Cristiano Ronaldo dos Santos Aveiro,Portugal,,0.0,,False
Raphaël Adelino José Guerreiro,Portugal,raphael guerreiro,100.0,0.1402,True
Rúben Diogo Da Silva Neves,Portugal,ruben neves,100.0,0.0377,True
José Diogo Dalot Teixeira,Portugal,,0.0,,False
William Silva de Carvalho,Portugal,william carvalho,100.0,0.1487,True
Otávio Edmilson da Silva Monteiro,Portugal,,0.0,,False
Gonçalo Matias Ramos,Portugal,,0.0,,False
Ricardo Jorge Luz Horta,Portugal,,0.0,,False
Vitor Machado Ferreira,Portugal,,0.0,,False
Rafael Alexandre Conceição Leão,Portugal,rafael leao,100.0,0.2914,True
Danilo Luís Hélio Pereira,Portugal,danilo pereira,100.0,0.1261,True
António João Pereira Albuquerque Tavares Silva,Portugal,antonio sivera,88.88888888888889,0.0,True
João Mário Naval da Costa Eduardo,Portugal,,0.0,,False
Matheus Luiz Nunes,Portugal,,0.0,,False
João Maria Lobo Alves Palhinha Gonçalves,Portugal,,0.0,,False
Nuno Mendes,Portugal,nuno mendes,100.0,0.0121,True
André Miguel Valente Silva,Portugal,andre silva,100.0,0.6138,True
Boualem Khoukhi,Qatar,,0.0,,False
Akram Hassan Afif,Qatar,,0.0,,False
Abdelkarim Hassan Al Haj Fadlalla,Qatar,,0.0,,False
Pedro Miguel Correia,Qatar,,0.0,,False
Homam Alamin Ahmed,Qatar,,0.0,,False
Almoez Ali Zainalabiddin Abdulla,Qatar,,0.0,,False
Hassan Khalid Al Heidos,Qatar,,0.0,,False
Abdulaziz Hatem Mohammed Abdullah,Qatar,,0.0,,False
Karim Boudiaf,Qatar,,0.0,,False
Meshaal Aissa Barsham,Qatar,,0.0,,False
Ismaeel Mohammad Mohammad,Qatar,,0.0,,False
Assim Omer Al Haj Madibo,Qatar,,0.0,,False
Bassam Hisham Al Rawi,Qatar,,0.0,,False
Saad Abdullah Al Sheeb,Qatar,,0.0,,False
Mohammed Muntari,Qatar,,0.0,,False
Mohammed Waed Abdulwahhab Al Bayati,Qatar,mohamed bayo,81.4814814814815,0.4634,True
Ali Assadalla Thaimn Qambar,Qatar,,0.0,,False
Tarek Salman Salman,Qatar,,0.0,,False
Mosaab Khoder Jibril,Qatar,,0.0,,False
Ahmed Alaa Eldin Abdelmotaal,Qatar,,0.0,,False
Mohammed Kanoo,Saudi Arabia,mohamed bayo,76.92307692307692,0.4634,True
Salem Mohammed Al Dawsari,Saudi Arabia,,0.0,,False
Saud Abdullah Abdul Hamid,Saudi Arabia,,0.0,,False
Mohammed Khalil Al Owais,Saudi Arabia,mohammed salisu,82.75862068965517,0.0543,True
Firas Tariq Nasser Al Albirakan,Saudi Arabia,,0.0,,False
Ali Albulayhi,Saudi Arabia,,0.0,,False
Saleh Khalid Al Shehri,Saudi Arabia,,0.0,,False
Hassan Mohammed Al-Tambakti,Saudi Arabia,,0.0,,False
Abdulelah Al Amri,Saudi Arabia,,0.0,,False
Abdulelah Saad Hameed Al-Malki,Saudi Arabia,,0.0,,False
Sultan Abdullah Salim Al Ghannam,Saudi Arabia,,0.0,,False
Yasir Gharsan Al Shahrani,Saudi Arabia,,0.0,,False
Nawaf Shaker Al Abid,Saudi Arabia,,0.0,,False
Mohammed Al Burayk,Saudi Arabia,mohamed bayo,81.4814814814815,0.4634,True
Riyadh Sharahili,Saudi Arabia,,0.0,,False
Sami Khalil Al Naji,Saudi Arabia,,0.0,,False
Abdullah Mohammed Madu,Saudi Arabia,,0.0,,False
Ali Al Hassan,Saudi Arabia,,0.0,,False
Salman Mohammed Al Faraj,Saudi Arabia,,0.0,,False
Abdulrahman Al-Obood,Saudi Arabia,,0.0,,False
Haitham Mohammed Asiri,Saudi Arabia,,0.0,,False
Nasser Al Dawsari,Saudi Arabia,,0.0,,False
Hattan Babhir,Saudi Arabia,,0.0,,False
Youssouf Sabaly,Senegal,youssouf sabaly,100.0,0.0121,True
Kalidou Koulibaly,Senegal,kalidou koulibaly,100.0,0.0516,True
Edouard Mendy,Senegal,edouard mendy,100.0,0.0,True
Ismaïla Sarr,Senegal,ismaila sarr,100.0,0.2044,True
Abdou Diallo,Senegal,abdou diallo,100.0,0.0093,True
Boulaye Dia,Senegal,boulaye dia,100.0,0.3668,True
Ismail Jakobs,Senegal,ismail jakobs,100.0,0.0509,True
Idrissa Gana Gueye,Senegal,idrissa gueye,100.0,0.0642,True
Nampalys Mendy,Senegal,nampalys mendy,100.0,0.0019,True
Krépin Diatta,Senegal,krepin diatta,100.0,0.031,True
Pape Gueye,Senegal,pape gueye,100.0,0.0849,True
Pathé Ismaël Ciss,Senegal,pathe ciss,100.0,0.1538,True
Iliman Ndiaye,Senegal,,0.0,,False
Cheikh Ahmadou Bamba Mbacke Dieng,Senegal,,0.0,,False
Pape Abou Cissé,Senegal,pathe ciss,80.0,0.1538,True
Famara Diedhiou,Senegal,,0.0,,False
Cheikhou Kouyaté,Senegal,cheikhou kouyate,100.0,0.0099,True
Pape Matar Sarr,Senegal,pape sarr,100.0,0.0692,True
Nicolas Jackson,Senegal,,0.0,,False
Fodé Ballo Touré,Senegal,fode toure,100.0,0.0529,True
Vanja Milinković Savić,Serbia,,0.0,,False
Nikola Milenković,Serbia,nikola milenkovic,100.0,0.0429,True
Aleksandar Mitrović,Serbia,,0.0,,False
Dušan Tadić,Serbia,,0.0,,False
Saša Lukić,Serbia,sasa lukic,100.0,0.1297,True
Strahinja Pavlović,Serbia,strahinja pavlovic,100.0,0.0873,True
Sergej Milinković-Savić,Serbia,sergej milinkovic-savic,100.0,0.2302,True
Milos Veljkovic,Serbia,,0.0,,False
Andrija Živković,Serbia,,0.0,,False
Filip Kostić,Serbia,filip kostic,100.0,0.1033,True
Nemanja Maksimović,Serbia,nemanja maksimovic,100.0,0.0857,True
Nemanja Gudelj,Serbia,nemanja gudelj,100.0,0.0132,True
Nemanja Radonjić,Serbia,nemanja radoja,86.66666666666667,0.0175,True
Dušan Vlahović,Serbia,dusan vlahovic,100.0,0.5232,True
Filip Mladenović,Serbia,,0.0,,False
Luka Jović,Serbia,luka jovic,100.0,0.6678,True
Stefan Mitrović,Serbia,stefan mitrovic,100.0,0.0078,True
Ivan Ilić,Serbia,ivan ilic,100.0,0.081,True
Darko Lazović,Serbia,darko lazovic,100.0,0.1068,True
Filip Đuričić,Serbia,,0.0,,False
Marko Grujić,Serbia,,0.0,,False
Srđan Babić,Serbia,,0.0,,False
Predrag Rajković,Serbia,predrag rajkovic,100.0,0.0,True
Moon-Hwan Kim,South Korea,,0.0,,False
Heung-Min Son,South Korea,son heung-min,100.0,0.5012,True
Seung-Gyu Kim,South Korea,,0.0,,False
Young-Gwon Kim,South Korea,,0.0,,False
In-Beom Hwang,South Korea,hwang ui-jo,75.0,0.2652,True
Jin-Su Kim,South Korea,,0.0,,False
Woo-Young Jung,South Korea,woo-yeong jeong,82.75862068965517,0.3204,True
Gue-Sung Cho,South Korea,,0.0,,False
Min Jae Kim,South Korea,,0.0,,False
Jae-Sung Lee,South Korea,jae-sung lee,100.0,0.1834,True
Kang-In Lee,South Korea,lee kang-in,100.0,0.0939,True
Sang-Ho Na,South Korea,,0.0,,False
Hee-Chan Hwang,South Korea,hee-chan hwang,100.0,0.2094,True
Ui-Jo Hwang,South Korea,hwang ui-jo,100.0,0.2652,True
Kyung-Won Kwon,South Korea,,0.0,,False
Jun-Ho Son,South Korea,,0.0,,False
Chang-Hoon Kwon,South Korea,,0.0,,False
Woo-Yeong Jeong,South Korea,woo-yeong jeong,100.0,0.3204,True
Chul Hong,South Korea,,0.0,,False
Seung-Ho Paik,South Korea,,0.0,,False
Yu-Min Cho,South Korea,,0.0,,False
Rodrigo Hernández Cascante,Spain,,0.0,,False
Unai Simón Mendibil,Spain,,0.0,,False
Daniel Olmo Carvajal,Spain,daniel carvajal,100.0,0.0428,True
Sergio Busquets i Burgos,Spain,sergio ramos,80.0,0.2401,True
Pedro González López,Spain,,0.0,,False
Aymeric Laporte,Spain,aymeric laporte,100.0,0.1408,True
Pablo Martín Páez Gavira,Spain,,0.0,,False
Jordi Alba Ramos,Spain,,0.0,,False
Marco Asensio Willemsen,Spain,,0.0,,False
Ferrán Torres García,Spain,fran garcia,91.66666666666666,0.0278,True
Álvaro Borja Morata Martín,Spain,aaron martin,88.0,0.0295,True
Nicholas Williams Arthuer,Spain,,0.0,,False
Daniel Carvajal Ramos,Spain,daniel james,83.33333333333334,0.2758,True
César Azpilicueta Tanco,Spain,,0.0,,False
Alejandro Balde Martínez,Spain,leandro martins,84.84848484848484,0.1178,True
Marcos Llorente Moreno,Spain,,0.0,,False
Carlos Soler Barragán,Spain,,0.0,,False
Pau Francisco Torres,Spain,pau torres,100.0,0.1482,True
Jorge Resurrección Merodio,Spain,jorge mere,78.26086956521739,0.0,True
Anssumane Fati,Spain,anssumane fati,100.0,0.3627,True
Pablo Sarabia García,Spain,pablo mari,81.81818181818181,0.0406,True
Manuel Obafemi Akanji,Switzerland,manuel akanji,100.0,0.069,True
Granit Xhaka,Switzerland,granit xhaka,100.0,0.0426,True
Ricardo Iván Rodríguez Araya,Switzerland,,0.0,,False
Remo Freuler,Switzerland,remo freuler,100.0,0.0525,True
Breel-Donald Embolo,Switzerland,breel embolo,77.41935483870968,0.3622,True
Ruben Vargas,Switzerland,ruben vargas,100.0,0.1531,True
Silvan Widmer,Switzerland,silvan widmer,100.0,0.085,True
Yann Sommer,Switzerland,yann sommer,100.0,0.0,True
Djibril Sow,Switzerland,djibril sow,100.0,0.0241,True
Xherdan Shaqiri,Switzerland,xherdan shaqiri,100.0,0.0925,True
Nico Elvedi,Switzerland,nico elvedi,100.0,0.0478,True
Edimilson Fernandes,Switzerland,edimilson fernandes,100.0,0.0206,True
Fabian Lukas Schär,Switzerland,fabian schar,100.0,0.0349,True
Gregor Kobel,Switzerland,gregor kobel,100.0,0.0,True
Haris Seferović,Switzerland,,0.0,,False
Fabian Rieder,Switzerland,,0.0,,False
Denis Lemi Zakaria Lako Lado,Switzerland,,0.0,,False
Eray Ervin Cömert,Switzerland,eray comert,100.0,0.103,True
Noah Okafor,Switzerland,,0.0,,False
Renato Steffen,Switzerland,renato steffen,100.0,0.1052,True
Fabian Frei,Switzerland,,0.0,,False
Michel Aebischer,Switzerland,michel aebischer,100.0,0.0204,True
Christian Fassnacht,Switzerland,,0.0,,False
Ardon Jashari,Switzerland,,0.0,,False
Aymen Dahmen,Tunisia,,0.0,,False
Montassar Omar Talbi,Tunisia,,0.0,,False
Yassine Meriah,Tunisia,,0.0,,False
Ellyes Joris Skhiri,Tunisia,ellyes skhiri,100.0,0.1657,True
Aïssa Bilal Laïdouni,Tunisia,,0.0,,False
Ali Abdi,Tunisia,,0.0,,False
Issam Jebali,Tunisia,,0.0,,False
Youssef Msakni,Tunisia,,0.0,,False
Dylan Daniel Mahmoud Bronn,Tunisia,dylan bronn,100.0,0.0556,True
Anis Ben Slimane,Tunisia,,0.0,,False
Mohamed Dräger,Tunisia,,0.0,,False
Wajdi Kechrida,Tunisia,wajdi kechrida,100.0,0.0236,True
Naïm Sliti,Tunisia,,0.0,,False
Ali Maâloul,Tunisia,,0.0,,False
Nader Ghandri,Tunisia,,0.0,,False
Wahbi Khazri,Tunisia,wahbi khazri,100.0,0.2718,True
Mohamed Ali Ben Romdhane,Tunisia,,0.0,,False
Ferjani Sassi,Tunisia,,0.0,,False
Taha Yassine Khenissi,Tunisia,,0.0,,False
Ghilane Chalali,Tunisia,,0.0,,False
Hannibal Mejbri,Tunisia,,0.0,,False
Tyler Adams,United States,tyler adams,100.0,0.0084,True
Tim Ream,United States,,0.0,,False
Antonee Robinson,United States,,0.0,,False
Matthew Charles Turner,United States,,0.0,,False
Yunus Dimoara Musah,United States,yunus musah,100.0,0.0326,True
Christian Pulisic,United States,christian pulisic,100.0,0.4299,True
Timothy Weah,United States,timothy weah,100.0,0.2197,True
Sergino Dest,United States,sergino dest,100.0,0.09,True
Walker Zimmerman,United States,,0.0,,False
Weston McKennie,United States,weston mckennie,100.0,0.1895,True
Haji Wright,United States,,0.0,,False
Joshua Sargent,United States,joshua sargent,100.0,0.1181,True
Brenden Aaronson,United States,,0.0,,False
Cameron Carter-Vickers,United States,,0.0,,False
Giovanni Reyna,United States,giovanni reyna,100.0,0.3436,True
Kellyn Kai Perry-Acosta,United States,,0.0,,False
DeAndre Yedlin,United States,,0.0,,False
Jesus Ferreira,United States,,0.0,,False
Shaquell Moore,United States,,0.0,,False
Jordan Morris,United States,,0.0,,False
José María Giménez de Vargas,Uruguay,,0.0,,False
Federico Santiago Valverde Dipetta,Uruguay,federico chiesa,77.41935483870968,0.2407,True
Sergio Rochet Álvarez,Uruguay,,0.0,,False
Mathías Olivera Miramontes,Uruguay,,0.0,,False
Darwin Gabriel Núñez Ribeiro,Uruguay,,0.0,,False
Rodrigo Bentancur Colmán,Uruguay,,0.0,,False
Guillermo Varela Olivera,Uruguay,,0.0,,False
Matías Vecino Falero,Uruguay,,0.0,,False
Sebastián Coates Nión,Uruguay,sebastian andersson,78.78787878787878,0.3582,True
Facundo Pellistri Rebollo,Uruguay,,0.0,,False
Luis Alberto Suárez Díaz,Uruguay,luis diaz,100.0,0.4001,True
Diego Roberto Godín Leal,Uruguay,diego lopez,76.19047619047619,0.0,True
Edinson Roberto Cavani Gómez,Uruguay,,0.0,,False
Giorgian Daniel De Arrascaeta Benedetti,Uruguay,,0.0,,False
José Martín Cáceres Silva,Uruguay,jose sa,82.35294117647058,0.0,True
Diego Nicolás De La Cruz Arcosa,Uruguay,diego carlos,83.33333333333334,0.0741,True
Maximiliano Gómez González,Uruguay,,0.0,,False
Matías Nicolás Viña Susperreguy,Uruguay,,0.0,,False
Agustín Canobbio Graviz,Uruguay,,0.0,,False
Joe Rodon,Wales,,0.0,,False
Chris Mepham,Wales,,0.0,,False
Aaron Ramsey,Wales,aaron ramsdale,84.61538461538461,0.0,True
Ethan Ampadu,Wales,ethan ampadu,100.0,0.0082,True
Ben Davies,Wales,ben davies,100.0,0.0877,True
Kieffer Roberto Francisco Moore,Wales,,0.0,,False
Gareth Frank Bale,Wales,gareth bale,100.0,0.4774,True
Connor Roberts,Wales,connor roberts,100.0,0.0119,True
Neco Williams,Wales,nico williams,92.3076923076923,0.2249,True
Wayne Hennessey,Wales,,0.0,,False
Harry Wilson,Wales,harry winks,78.26086956521739,0.0068,True
Daniel James,Wales,daniel james,100.0,0.2758,True
Danny Ward,Wales,,0.0,,False
Brennan Johnson,Wales,ben johnson,84.61538461538461,0.0095,True
Joe Allen,Wales,jose callejon,81.81818181818181,0.1117,True
Joseff Morrell,Wales,,0.0,,False
Rubin Colwill,Wales,,0.0,,False
Sorba Thomas,Wales,,0.0,,False
